deck_key,partidas_jogadas,vitorias,empates,jogadores_unicos,eventos,derrotas,win_rate,is_banned,ban_rule,deck_name_pt,deck_name_en,colecao,deck_url
Blast from the Past,3,1,1,1,1,1,0.3333333333333333,False,"12+ jogos e 66,6%+ WR",Blast from the Past,Blast from the Past,Doctor Who,https://moxfield.com/decks/DrrgKpdOf0mmfCVUIyraLw
Ataque Surpresa,3,1,1,1,1,1,0.3333333333333333,False,"12+ jogos e 66,6%+ WR",Ataque Surpresa,Sneak Attack,Zendikar Rising,https://moxfield.com/decks/RzsmVOnyREuqPhNrhrA-ow
Conselho Élfico,3,1,1,1,1,1,0.3333333333333333,False,"12+ jogos e 66,6%+ WR",Conselho Élfico,Elven Council,The Lord Of The Rings: Tales Of Middle-Earth,https://moxfield.com/decks/oP3tmn8muEKNYSWn3KHhDw
Doom Prevails,3,0,2,1,1,1,0.0,False,"12+ jogos e 66,6%+ WR",Doom Prevails,Doom Prevails,Marvel Super Heroes,https://moxfield.com/decks/Jg16IgdT80G3KgLz0vI23g
Comida e Sociedade,3,0,0,1,1,3,0.0,False,"12+ jogos e 66,6%+ WR",Comida e Sociedade,Food and Fellowship,The Lord Of The Rings: Tales Of Middle-Earth,https://moxfield.com/decks/KOqweQdLSUSWGxKHtyy95Q
Conflito Aberto,3,2,0,1,1,1,0.6666666666666666,False,"12+ jogos e 66,6%+ WR",Conflito Aberto,Open Hostility,Commander 2016,https://moxfield.com/decks/x4ZHwrqgN0qOauhiAGD7xw
Perigo Mortal,3,0,1,1,1,2,0.0,False,"12+ jogos e 66,6%+ WR",Perigo Mortal,Grave Danger,Starter Commander Decks,https://moxfield.com/decks/OVDNmzDGOEW6CL-dVVCxbA
Influência Corruptora,3,1,0,1,1,2,0.3333333333333333,False,"12+ jogos e 66,6%+ WR",Influência Corruptora,Corrupting Influence,Phyrexia: All Will Be One,https://moxfield.com/decks/wRdT-auSDE6XcMJPM0aHDA
Fúria Dracônica,3,1,1,1,1,1,0.3333333333333333,False,"12+ jogos e 66,6%+ WR",Fúria Dracônica,Draconic Rage,Dungeons and Dragons: Adventures in the Forgotten Realms,https://moxfield.com/decks/P1mqDaduQ02OuUWm_8rb4Q
Festa dos Planeswalker,3,3,0,1,1,0,1.0,False,"12+ jogos e 66,6%+ WR",Festa dos Planeswalker,Planeswalker Party,Commander Masters,https://moxfield.com/decks/BYtodI0bP02r4z6UCkNkOg
